Year,Month,State,Age Group,Footnote,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths"
2023,5,Alaska,15-24 years,,0,18,0,0,0,0
2023,5,Alaska,25-34 years,,0,16,0,0,0,0
2023,5,Alaska,35-44 years,,0,19,0,0,0,0
2023,5,Alaska,45-54 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4,25,4,4,0,4
2023,5,Alaska,55-64 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,0,49,4,0,0,4
2023,5,Alaska,65-74 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,0,88,4,0,4,4
2023,5,Alaska,75-84 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4,75,4,0,0,4
2023,5,Alaska,85 years and over,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4,67,4,4,0,4
2023,6,Alaska,All Ages,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4,206,4,0,4,4
2023,6,Alaska,Under 1 year,,0,0,0,0,0,0
2023,6,Alaska,1-4 years,,0,0,0,0,0,0
2023,6,Alaska,5-14 years,,0,0,0,0,0,0
2023,6,Alaska,15-24 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,0,4,0,0,0,0
2023,6,Alaska,25-34 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,0,4,0,0,0,0
2023,6,Alaska,35-44 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,0,4,4,0,0,4
2023,6,Alaska,45-54 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,0,4,4,0,0,4
2023,6,Alaska,55-64 years,,0,25,0,0,0,0
2023,6,Alaska,65-74 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,0,53,4,0,4,4
2023,6,Alaska,75-84 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4,50,4,0,0,4
2023,6,Alaska,85 years and over,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,0,51,4,0,0,4
2023,7,Alaska,All Ages,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,0,4,0,0,0,0
2023,7,Alaska,Under 1 year,,0,0,0,0,0,0
2023,7,Alaska,1-4 years,,0,0,0,0,0,0
2023,7,Alaska,5-14 years,,0,0,0,0,0,0
2023,7,Alaska,15-24 years,,0,0,0,0,0,0
2023,7,Alaska,25-34 years,,0,0,0,0,0,0
2023,7,Alaska,35-44 years,,0,0,0,0,0,0
2023,7,Alaska,45-54 years,,0,0,0,0,0,0
2023,7,Alaska,55-64 years,,0,0,0,0,0,0
2023,7,Alaska,65-74 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,0,4,0,0,0,0
2023,7,Alaska,75-84 years,,0,0,0,0,0,0
2023,7,Alaska,85 years and over,,0,0,0,0,0,0
2020,1,Arizona,All Ages,,0,5843,376,0,40,416
2020,1,Arizona,Under 1 year,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,0,33,4,0,4,4
2020,1,Arizona,1-4 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,0,4,0,0,4,4
2020,1,Arizona,5-14 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,0,14,4,0,4,4
2020,1,Arizona,15-24 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,0,80,4,0,4,4
2020,1,Arizona,25-34 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,0,153,4,0,4,4
2020,1,Arizona,35-44 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,0,173,4,0,4,4
2020,1,Arizona,45-54 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,0,302,21,0,4,27
2020,1,Arizona,55-64 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,0,709,51,0,4,55
2020,1,Arizona,65-74 years,,0,1182,74,0,10,84
2020,1,Arizona,75-84 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,0,1501,105,0,4,114
2020,1,Arizona,85 years and over,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,0,1687,116,0,4,120
2020,2,Arizona,All Ages,,0,5454,340,0,54,394
2020,2,Arizona,Under 1 year,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,0,41,4,0,0,4
2020,2,Arizona,1-4 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,0,14,4,0,4,4
2020,2,Arizona,5-14 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,0,14,0,0,4,4
2020,2,Arizona,15-24 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,0,78,4,0,4,4
2020,2,Arizona,25-34 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,0,145,4,0,4,4
2020,2,Arizona,35-44 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,0,160,4,0,4,4
2020,2,Arizona,45-54 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,0,269,10,0,4,12
2020,2,Arizona,55-64 years,,0,682,42,0,13,55
2020,2,Arizona,65-74 years,,0,1062,72,0,15,87
2020,2,Arizona,75-84 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,0,1434,105,0,4,114
2020,2,Arizona,85 years and over,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,0,1555,98,0,4,105
2020,3,Arizona,All Ages,,64,5932,435,34,39,504
2020,3,Arizona,Under 1 year,,0,35,0,0,0,0
2020,3,Arizona,1-4 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,0,4,4,0,0,4
2020,3,Arizona,5-14 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4,14,0,0,0,4
2020,3,Arizona,15-24 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4,89,4,4,0,4
2020,3,Arizona,25-34 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4,133,4,4,0,4
2020,3,Arizona,35-44 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,0,180,4,0,4,11
2020,3,Arizona,45-54 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,11,319,27,4,4,36
2020,3,Arizona,55-64 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,10,738,69,4,4,77
2020,3,Arizona,65-74 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,14,1205,91,4,10,111
2020,3,Arizona,75-84 years,,17,1589,112,10,10,129
2020,3,Arizona,85 years and over,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4,1623,119,4,4,131
2020,4,Arizona,All Ages,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,405,5879,540,191,4,762
2020,4,Arizona,Under 1 year,,0,23,0,0,0,0
2020,4,Arizona,1-4 years,,0,10,0,0,0,0
2020,4,Arizona,5-14 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,0,4,0,0,0,0
2020,4,Arizona,15-24 years,,0,85,0,0,0,0
2020,4,Arizona,25-34 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4,136,10,4,0,13
2020,4,Arizona,35-44 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4,173,10,4,0,13
2020,4,Arizona,45-54 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,16,290,20,4,0,29
2020,4,Arizona,55-64 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,45,736,64,23,4,89
2020,4,Arizona,65-74 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,76,1217,125,41,4,162
2020,4,Arizona,75-84 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,114,1517,167,52,4,230
2020,4,Arizona,85 years and over,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,139,1687,144,59,4,226
2020,5,Arizona,All Ages,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,507,5929,564,268,4,804
2020,5,Arizona,Under 1 year,,0,31,0,0,0,0
2020,5,Arizona,1-4 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4,13,0,0,0,4
2020,5,Arizona,5-14 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4,12,4,4,0,4
2020,5,Arizona,15-24 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4,96,4,0,0,4
2020,5,Arizona,25-34 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4,191,4,4,0,12
2020,5,Arizona,35-44 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,15,220,12,4,0,20
2020,5,Arizona,45-54 years,,36,344,30,15,0,51
2020,5,Arizona,55-64 years,,64,713,75,36,0,103
2020,5,Arizona,65-74 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,90,1164,116,49,4,158
2020,5,Arizona,75-84 years,,131,1498,163,72,0,222
2020,5,Arizona,85 years and over,,157,1647,155,83,0,229
2020,6,Arizona,All Ages,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,899,6546,739,488,4,1152
2020,6,Arizona,Under 1 year,,0,36,0,0,0,0
2020,6,Arizona,1-4 years,,0,10,0,0,0,0
2020,6,Arizona,5-14 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4,12,4,4,0,4
2020,6,Arizona,15-24 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4,98,4,4,0,4
2020,6,Arizona,25-34 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,17,223,10,4,0,22
2020,6,Arizona,35-44 years,,36,246,19,16,0,39
2020,6,Arizona,45-54 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,69,407,43,36,4,77
2020,6,Arizona,55-64 years,,150,846,112,83,0,179
2020,6,Arizona,65-74 years,,183,1292,172,109,0,246
2020,6,Arizona,75-84 years,,237,1655,221,140,0,318
2020,6,Arizona,85 years and over,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,202,1721,158,96,4,265
2020,7,Arizona,All Ages,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,2102,8386,1589,1251,4,2441
2020,7,Arizona,Under 1 year,,0,35,0,0,0,0
2020,7,Arizona,1-4 years,,0,13,0,0,0,0
2020,7,Arizona,5-14 years,,0,11,0,0,0,0
2020,7,Arizona,15-24 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,10,123,4,4,0,11
2020,7,Arizona,25-34 years,,37,248,23,20,0,40
2020,7,Arizona,35-44 years,,80,349,40,37,0,83
2020,7,Arizona,45-54 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,150,562,114,94,4,171
2020,7,Arizona,55-64 years,,337,1167,248,202,0,383
2020,7,Arizona,65-74 years,,505,1760,412,326,0,591
2020,7,Arizona,75-84 years,,545,1997,439,339,0,645
2020,7,Arizona,85 years and over,,438,2121,305,226,0,517
2020,8,Arizona,All Ages,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,942,6712,780,538,4,1185
2020,8,Arizona,Under 1 year,,0,30,0,0,0,0
2020,8,Arizona,1-4 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,0,4,0,0,0,0
2020,8,Arizona,5-14 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,0,4,0,0,0,0
2020,8,Arizona,15-24 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4,99,4,4,0,4
2020,8,Arizona,25-34 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,17,217,12,4,0,20
2020,8,Arizona,35-44 years,,30,272,23,17,0,36
2020,8,Arizona,45-54 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,73,432,57,41,4,90
2020,8,Arizona,55-64 years,,166,918,138,98,0,206
2020,8,Arizona,65-74 years,,244,1444,223,155,0,312
2020,8,Arizona,75-84 years,,235,1642,197,143,0,289
2020,8,Arizona,85 years and over,,173,1647,127,73,0,227
2020,9,Arizona,All Ages,,273,5426,380,149,0,504
2020,9,Arizona,Under 1 year,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,0,36,4,0,0,4
2020,9,Arizona,1-4 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,0,4,0,0,0,0
2020,9,Arizona,5-14 years,,0,10,0,0,0,0
2020,9,Arizona,15-24 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4,97,4,0,0,4
2020,9,Arizona,25-34 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4,178,4,4,0,4
2020,9,Arizona,35-44 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,11,226,4,4,0,16
2020,9,Arizona,45-54 years,,22,362,23,13,0,32
2020,9,Arizona,55-64 years,,47,713,62,28,0,81
2020,9,Arizona,65-74 years,,65,1058,89,42,0,112
2020,9,Arizona,75-84 years,,71,1347,105,36,0,140
2020,9,Arizona,85 years and over,,50,1393,87,24,0,113
2020,10,Arizona,All Ages,,259,5611,388,134,0,513
2020,10,Arizona,Under 1 year,,0,43,0,0,0,0
2020,10,Arizona,1-4 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,0,4,0,0,0,0
2020,10,Arizona,5-14 years,,0,16,0,0,0,0
2020,10,Arizona,15-24 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,0,97,4,0,0,4
2020,10,Arizona,25-34 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4,165,4,0,0,4
2020,10,Arizona,35-44 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4,218,12,4,0,16
2020,10,Arizona,45-54 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,17,331,18,4,0,26
2020,10,Arizona,55-64 years,,35,730,65,23,0,77
2020,10,Arizona,65-74 years,,74,1122,102,44,0,132
2020,10,Arizona,75-84 years,,67,1419,105,32,0,140
2020,10,Arizona,85 years and over,,57,1464,84,22,0,119
2020,11,Arizona,All Ages,,858,6141,758,478,0,1138
2020,11,Arizona,Under 1 year,,0,32,0,0,0,0
2020,11,Arizona,1-4 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,0,4,0,0,0,0
2020,11,Arizona,5-14 years,,0,16,0,0,0,0
2020,11,Arizona,15-24 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4,88,4,4,0,4
2020,11,Arizona,25-34 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4,159,10,4,0,14
2020,11,Arizona,35-44 years,,28,209,17,13,0,32
2020,11,Arizona,45-54 years,,38,343,37,25,0,50
2020,11,Arizona,55-64 years,,126,789,111,75,0,162
2020,11,Arizona,65-74 years,,193,1246,173,108,0,258
2020,11,Arizona,75-84 years,,256,1585,224,143,0,337
2020,11,Arizona,85 years and over,,205,1669,182,108,0,279
2020,12,Arizona,All Ages,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,3012,9221,2323,1911,4,3424
2020,12,Arizona,Under 1 year,,0,27,0,0,0,0
2020,12,Arizona,1-4 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,0,4,4,0,0,4
2020,12,Arizona,5-14 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4,17,4,4,0,4
2020,12,Arizona,15-24 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4,91,4,4,0,4
2020,12,Arizona,25-34 years,,22,164,21,17,0,26
2020,12,Arizona,35-44 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,62,244,46,32,4,76
2020,12,Arizona,45-54 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,161,484,130,106,4,185
2020,12,Arizona,55-64 years,,374,1138,295,240,0,429
2020,12,Arizona,65-74 years,,699,1975,555,460,0,794
2020,12,Arizona,75-84 years,,907,2495,690,580,0,1017
2020,12,Arizona,85 years and over,,783,2579,579,472,0,890
2021,1,Arizona,All Ages,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4032,10317,2786,2420,4,4400
2021,1,Arizona,Under 1 year,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,0,35,4,0,0,4
2021,1,Arizona,1-4 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,0,4,0,0,0,0
2021,1,Arizona,5-14 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4,4,4,4,0,4
2021,1,Arizona,15-24 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4,77,4,4,0,4
2021,1,Arizona,25-34 years,,43,232,27,23,0,47
2021,1,Arizona,35-44 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,78,316,56,48,4,87
2021,1,Arizona,45-54 years,,263,592,186,169,0,280
2021,1,Arizona,55-64 years,,572,1372,407,345,0,634
2021,1,Arizona,65-74 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,947,2260,680,594,4,1033
2021,1,Arizona,75-84 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,1250,2814,856,757,4,1349
2021,1,Arizona,85 years and over,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,871,2606,567,479,4,960
2021,2,Arizona,All Ages,,1668,6709,1276,1022,0,1922
2021,2,Arizona,Under 1 year,,0,29,0,0,0,0
2021,2,Arizona,1-4 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,0,4,0,0,0,0
2021,2,Arizona,5-14 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4,4,4,0,0,4
2021,2,Arizona,15-24 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4,88,4,4,0,4
2021,2,Arizona,25-34 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,10,153,4,4,0,10
2021,2,Arizona,35-44 years,,35,224,27,22,0,40
2021,2,Arizona,45-54 years,,91,404,77,60,0,108
2021,2,Arizona,55-64 years,,256,921,209,175,0,290
2021,2,Arizona,65-74 years,,470,1531,370,313,0,527
2021,2,Arizona,75-84 years,,483,1774,373,291,0,565
2021,2,Arizona,85 years and over,,315,1568,210,153,0,372
2021,3,Arizona,All Ages,,517,6156,562,276,0,803
2021,3,Arizona,Under 1 year,,0,30,0,0,0,0
2021,3,Arizona,1-4 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,0,4,0,0,0,0
2021,3,Arizona,5-14 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4,17,4,4,0,4
2021,3,Arizona,15-24 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4,96,4,0,0,4
2021,3,Arizona,25-34 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4,182,4,4,0,10
2021,3,Arizona,35-44 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,13,192,11,4,0,19
2021,3,Arizona,45-54 years,,30,365,25,15,0,40
2021,3,Arizona,55-64 years,,77,720,84,44,0,117
2021,3,Arizona,65-74 years,,136,1286,145,86,0,195
2021,3,Arizona,75-84 years,,133,1672,167,73,0,227
2021,3,Arizona,85 years and over,,120,1588,120,51,0,189
2021,4,Arizona,All Ages,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,235,5520,401,129,4,507
2021,4,Arizona,Under 1 year,,0,36,0,0,0,0
2021,4,Arizona,1-4 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4,4,0,0,0,4
2021,4,Arizona,5-14 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4,15,4,4,0,4
2021,4,Arizona,15-24 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4,83,0,0,0,4
2021,4,Arizona,25-34 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4,162,4,4,0,4
2021,4,Arizona,35-44 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4,241,10,4,0,15
2021,4,Arizona,45-54 years,,24,365,22,14,0,32
2021,4,Arizona,55-64 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,40,688,63,25,4,78
2021,4,Arizona,65-74 years,,67,1209,121,37,0,151
2021,4,Arizona,75-84 years,,52,1376,104,32,0,124
2021,4,Arizona,85 years and over,,35,1337,77,15,0,97
2021,5,Arizona,All Ages,,240,5792,399,143,0,496
2021,5,Arizona,Under 1 year,,0,34,0,0,0,0
2021,5,Arizona,1-4 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,0,4,4,0,0,4
2021,5,Arizona,5-14 years,,0,17,0,0,0,0
2021,5,Arizona,15-24 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4,103,4,0,0,4
2021,5,Arizona,25-34 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4,192,4,4,0,4
2021,5,Arizona,35-44 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4,283,14,4,0,18
2021,5,Arizona,45-54 years,,28,339,28,18,0,38
2021,5,Arizona,55-64 years,,44,757,73,31,0,86
2021,5,Arizona,65-74 years,,63,1202,99,38,0,124
2021,5,Arizona,75-84 years,,58,1394,94,37,0,115
2021,5,Arizona,85 years and over,,31,1463,84,15,0,100
2021,6,Arizona,All Ages,,182,5761,363,103,0,442
2021,6,Arizona,Under 1 year,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,0,23,4,0,0,4
2021,6,Arizona,1-4 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,0,4,4,0,0,4
2021,6,Arizona,5-14 years,,0,11,0,0,0,0
2021,6,Arizona,15-24 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,0,119,4,0,0,4
2021,6,Arizona,25-34 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4,208,4,4,0,4
2021,6,Arizona,35-44 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,11,265,4,4,0,14
2021,6,Arizona,45-54 years,,21,370,27,10,0,38
2021,6,Arizona,55-64 years,,26,760,54,18,0,62
2021,6,Arizona,65-74 years,,51,1227,94,34,0,111
2021,6,Arizona,75-84 years,,45,1412,89,21,0,113
2021,6,Arizona,85 years and over,,23,1357,82,14,0,91
2021,7,Arizona,All Ages,,290,5794,402,168,0,524
2021,7,Arizona,Under 1 year,,0,38,0,0,0,0
2021,7,Arizona,1-4 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,0,4,0,0,0,0
2021,7,Arizona,5-14 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,0,11,4,0,0,4
2021,7,Arizona,15-24 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4,110,4,4,0,4
2021,7,Arizona,25-34 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,13,229,15,4,0,21
2021,7,Arizona,35-44 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,13,254,14,4,0,21
2021,7,Arizona,45-54 years,,31,378,26,17,0,40
2021,7,Arizona,55-64 years,,67,773,78,40,0,105
2021,7,Arizona,65-74 years,,65,1217,96,42,0,119
2021,7,Arizona,75-84 years,,56,1360,92,31,0,117
2021,7,Arizona,85 years and over,,43,1416,78,24,0,97
2021,8,Arizona,All Ages,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,791,6749,760,477,4,1074
2021,8,Arizona,Under 1 year,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4,47,4,0,0,4
2021,8,Arizona,1-4 years,,0,11,0,0,0,0
2021,8,Arizona,5-14 years,,0,14,0,0,0,0
2021,8,Arizona,15-24 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,10,108,4,4,0,12
2021,8,Arizona,25-34 years,,34,260,24,17,0,41
2021,8,Arizona,35-44 years,,63,312,47,41,0,69
2021,8,Arizona,45-54 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,116,484,100,76,4,140
2021,8,Arizona,55-64 years,,161,882,129,98,0,192
2021,8,Arizona,65-74 years,,187,1443,186,116,0,257
2021,8,Arizona,75-84 years,,143,1575,158,83,0,218
2021,8,Arizona,85 years and over,,76,1613,109,42,0,143
2021,9,Arizona,All Ages,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,1194,6875,1025,746,4,1474
2021,9,Arizona,Under 1 year,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4,41,4,0,0,4
2021,9,Arizona,1-4 years,,0,12,0,0,0,0
2021,9,Arizona,5-14 years,,0,13,0,0,0,0
2021,9,Arizona,15-24 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4,100,4,4,0,10
2021,9,Arizona,25-34 years,,35,213,31,24,0,42
2021,9,Arizona,35-44 years,,97,326,66,60,0,103
2021,9,Arizona,45-54 years,,168,473,116,103,0,181
2021,9,Arizona,55-64 years,,236,948,186,149,0,273
2021,9,Arizona,65-74 years,,301,1426,259,194,0,366
2021,9,Arizona,75-84 years,,226,1719,223,147,0,302
2021,9,Arizona,85 years and over,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,121,1604,139,66,4,195
2021,10,Arizona,All Ages,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,1125,6887,1019,709,4,1436
